,code,name,mbrg,nprg,nav,targ,epsg,seg
0,600856,中天能源,436.9884,101898.6647,1763.3125,924.5691,56900.0,1326.3392
1,600061,国投安信,-51.6473,95500.101,4175.412,8008.1772,13200.0,4169.1604
2,002027,分众传媒,2075.0779,51267.4479,856.0008,2016.1562,37650.0,828.28
3,600876,洛阳玻璃,8.0999,39104.742,,24.3095,775.0,463.4626
4,000018,神州长城,36306.8296,7972.9489,888.6494,2078.4441,5805.5118,876.8334
5,600466,蓝光发展,4309.373,7495.6633,1797.3798,7455.7076,1277.0035,1386.3546
6,600297,广汇汽车,25121.1241,6113.3814,2172.2409,4932.817,307.3423,2079.7302
7,002102,冠福股份,-29.761,5882.687,41.3777,9.1716,2600.0,41.056000000000004
8,600136,当代明诚,507.5526,5079.2761,529.4529,536.0273,3400.0,545.0379
9,600981,汇鸿集团,323.9597,4771.6659,723.7598,537.1782,1195.1807,685.2027
10,600753,东方银星,8.2839,4451.2262,14.5097,0.3934,9966.6667,38.1013
11,002239,奥特佳,451.8998,3747.1809,509.35400000000004,833.7285,833.3333,506.9745
12,002425,凯撒文化,16.8066,3185.9376,31.6079,49.8033,850.0,34.7706
13,000008,神州高铁,321.5999,2345.2654,386.0129,432.523,160.0,408.9789
14,002619,巨龙管业,30.2527,2135.0443,464.912,257.0588,883.3333,478.6252
15,600629,华建集团,779.9962,2128.548,-29.0088,169.0727,3116.1538,-5.4546
16,300317,珈伟股份,179.685,2113.679,283.2689,367.8253,730.3082,294.4515
17,002323,雅百特,136.5749,2020.6996,-28.4784,-3.5224,1097.0865,-28.4784
18,002680,长生生物,643.8662,1966.4416,362.4864,371.42900000000003,439.3333,362.3103
19,002411,必康股份,90.8379,1791.3518,488.2893,465.5419,684.25,502.0616
20,000576,广东甘化,-16.3752,1672.0787,17.246,34.4632,1900.0,17.3787
21,002395,双象股份,23.3064,1621.0967,2.5051,2.1878,190.3587,1.7969
22,000615,京汉股份,247.2918,1573.0341,150.1544,392.2838,771.4286,111.67399999999999
23,600074,保千里,124.0313,1541.4115,94.351,164.3629,520.6897,132.8689
24,300033,同花顺,442.9069,1483.3506,78.5306,125.0556,709.0909,78.5306
25,002555,三七互娱,678.4336,1472.7435,30.6168,35.3714,132.0,34.7333
26,002127,南极电商,-75.26100000000001,1344.4203,164.9105,48.7085,2850.0,178.4033
27,600533,栖霞建设,101.9106,1323.3925,9.8956,-7.9993,1338.2114,10.5231
28,600299,安迪苏,58.9757,1293.2466,1274.6461,-1.5893,23.4043,924.4217
29,300242,明家联合,433.0351,1250.1512,660.8923,716.3032,420.0,660.8923
30,600338,西藏珠峰,-3.2534,1246.0885,985.8628,141.8001,353.8889,1664.5791
31,002074,国轩高科,210.0482,1137.4456,478.6269,426.9541,433.3333,509.2722
32,600889,南京化纤,-14.2968,1128.2527,33.1784,-25.8059,8177.7778,49.4224
33,300063,天龙集团,89.3393,1106.0148,193.3547,179.2823,2700.0,216.5731
34,000632,三木集团,6.0667,1096.5202,-5.0317,20.6868,0.3846,-2.2880000000000003
35,600970,中材国际,-1.1745,1064.7559,51.0813,13.677999999999999,328.5714,45.0941
36,600191,华资实业,-88.1696,1047.113,19.6115,2.9099,1044.3609,19.6765
37,002099,海翔药业,86.8265,1040.8954,12.3961,15.9167,407.1429,12.5987
38,000698,沈阳化工,-8.2633,1028.3788,24.7841,27.7138,693.1034,24.6128
39,000931,中关村,-64.4708,1018.3526,25.9921,10.1833,997.549,28.0736
40,300059,东方财富,359.5883,1015.7883,335.0035,283.8645,695.4015,334.6043
41,002036,联创电子,253.7486,1010.5112,98.9005,214.2387,650.0,131.5683
42,002270,华明装备,100.5609,1005.5533,184.3589,164.8201,620.0,183.7271
43,000158,常山股份,35.5242,925.0712,119.6109,97.0384,610.0592,119.5081
44,600093,禾嘉股份,1201.5266,894.0327,1227.7878,1170.6025,320.9091,1119.3476
45,600666,奥瑞德,-17.8983,886.9108,433.7557,184.2784,400.0,432.5944
46,300173,智慧松德,162.764,885.3901,4.8472,5.0375,85.7143,4.8472
47,300052,中青宝,-29.9139,870.5128,3.5341,-18.1944,-412.5,8.6379
48,600310,桂东电力,69.8059,845.4304,-27.5496,-0.1802,226.9258,-29.8525
49,600604,市北高新,704.2674,836.6397,167.9759,167.4109,566.6667,124.0783
50,601872,招商轮船,136.613,816.9071,35.0577,11.0245,475.0,35.7505
51,002016,世荣兆业,220.3915,790.1749,-1.4341,11.3327,258.3333,8.7203
52,300206,理邦仪器,5.2337,785.4463,4.6057,7.1927,540.2032,2.0925
53,002568,百润股份,1395.8253,777.4688,53.5135,172.4726,55.5556,53.5135
54,002103,广博股份,60.5777,759.403,117.2027,83.6786,675.0,119.1084
55,300077,国民技术,31.6886,748.1407,3.7487,11.6678,700.0,3.7506
56,300156,神雾环保,302.9961,748.0596,18.7033,28.8322,309.0909,21.004
57,600556,ST慧球,96.1408,744.8774,1587.6093,128.7503,550.0,1562.6549
