,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,603160,汇顶科技,0.18,,2.86,5.81,-0.14,7012.92,,,09-20
1,002815,崇达技术,0.24,,2.97,8.01,0.33,8510.58,,,09-12
2,601163,三角轮胎,0.27,,4.82,5.72,0.48,16110.3,,,08-22
3,600908,无锡银行,0.13,,4.47,2.94,-0.76,21550.82,,,08-10
4,300537,广信材料,0.11,,3.35,3.34,0.06,826.39,,,08-09
5,300533,冰川网络,0.6,-11.76,,9.02,,4469.47,-11.95,,07-29
6,300535,达威股份,0.24,33.33,,,,1069.63,33.85,,07-28
7,300532,今天国际,0.09,,5.91,1.48,-0.22,546.51,,,07-28
8,601997,贵阳银行,0.45,18.42,,5.63,,80876.8,19.86,,07-27
9,002807,江阴银行,0.11,-11.05,,2.42,,17679.0,-11.09,,07-26
10,600936,广西广电,0.08,-20.0,,,,11221.86,-15.86,,07-26
11,603843,正平股份,-0.05,-0.0,,-2.17,,-1503.68,56.55,,07-25
12,300531,优博讯,0.25,,4.68,5.46,-0.44,1492.05,,,07-25
13,002808,苏州恒久,0.06,-38.04,,1.74,,509.97,-38.34,,07-25
14,603569,长久物流,0.21,10.53,,8.01,,7474.56,10.92,,07-21
15,601811,新华文轩,0.15,,6.11,2.44,-0.17,17301.29,,,07-19
16,300528,幸福蓝海,0.07,-46.15,,1.27,,1643.13,-44.07,,07-18
17,300527,华舟应急,0.01,,,0.22,,206.23,,,07-15
18,300529,健帆生物,0.13,30.0,,7.98,,4689.47,23.97,,07-14
19,603322,超讯通信,0.01,-150.0,,0.34,,80.7,-164.76,,07-14
20,300526,中潜股份,0.14,,,3.23,,880.04,53.28,,07-13
21,300525,博思软件,0.03,,,0.74,,167.61,,,07-13
22,002806,华锋股份,0.05,,,1.36,,309.26,1192.3,,07-12
23,603663,三祥新材,0.08,33.33,,3.16,,768.93,22.28,,07-11
24,300522,世名科技,0.25,8.7,4.41,5.73,0.12,1248.15,6.87,,07-04
25,300521,爱司凯,0.1,25.0,,2.52,,587.08,28.16,,06-22
26,002803,吉宏股份,0.07,40.0,,2.37,,639.62,41.03,,06-22
27,002805,丰元股份,0.09,-52.63,,1.61,,669.96,-50.78,,06-20
28,300520,科大国创,-0.02,-33.33,,-0.49,,-130.32,-40.72,,06-20
29,603016,新宏泰,0.13,0.0,,3.27,,1411.85,0.72,,06-08
30,002802,洪汇新材,0.15,36.36,,4.25,,1220.06,36.52,,06-07
31,002801,微光股份,0.43,22.86,9.73,4.53,0.34,1903.14,22.94,,06-07
32,603958,哈森股份,0.21,-24.54,,,,3362.0,-24.48,,06-07
33,300517,海波重科,0.08,14.29,,1.79,,582.91,4.53,,06-06
34,603909,合诚股份,0.17,,,4.16,,1268.61,,,06-06
35,300518,盛讯达,0.26,23.81,,3.65,,1803.84,23.94,,06-06
36,300519,新光药业,0.66,,,12.11,,3977.53,3.35,,06-06
37,300515,三德科技,0.08,-426.07,,2.48,,572.37,-425.65,,05-20
38,603339,四方冷链,0.18,-5.26,,3.85,0.48,2811.32,-5.79,,05-18
39,002800,天顺股份,0.07,75.0,,1.4,,384.02,78.6,,05-17
40,603959,百利科技,0.01,,2.76,0.44,-0.34,203.97,,,05-16
41,300513,恒泰实达,-0.04,,,-0.71,,-215.64,,,05-16
42,603737,三棵树,-0.18,-35.71,,-2.55,,-1378.15,-34.93,,05-16
43,300516,久之洋,0.23,9.52,4.63,5.15,-0.67,2091.23,13.08,,05-16
44,603779,威龙股份,0.07,75.0,,,,1121.47,83.38,,05-13
45,002797,第一创业,0.05,-54.55,3.16,1.62,-0.56,9989.12,-54.27,,05-10
46,002796,世嘉科技,0.11,0.0,4.42,2.53,-0.02,655.06,-3.12,,05-09
47,603101,汇嘉时代,0.12,-1.17,3.64,3.29,-0.37,2122.09,-1.21,,05-05
48,300510,金冠电气,0.09,12.5,4.73,1.9,0.02,592.22,18.68,,05-05
49,300511,雪榕生物,0.46,142.11,6.11,7.89,0.61,5218.34,140.07,,05-03
50,000422,湖北宜化,0.02,25.0,,0.2,,1339.73,28.61,,04-30
51,600416,湘电股份,0.01,-128.57,,0.13,,519.66,-121.42,,04-30
52,000096,广聚能源,0.02,-92.38,,0.4,,809.28,-94.16,,04-30
53,600461,洪城水业,0.12,-25.33,,2.0,,4102.19,-22.66,,04-30
54,002134,天津普林,-0.07,133.33,,-3.13,,-1608.3,103.9,,04-30
55,002659,中泰桥梁,-0.01,-0.0,,-0.57,,-341.72,-0.62,,04-30
56,000036,华联控股,0.08,-1135.0,,4.46,,9304.77,-1172.31,,04-30
57,600792,云煤能源,-0.02,-73.75,,-0.75,,-2045.51,-74.02,,04-30
58,600226,升华拜克,0.07,-32.3,,5.13,,7414.76,85.85,,04-30
59,000566,海南海药,0.11,-8.33,,2.48,,5900.49,2.31,,04-30
60,002623,亚玛顿,0.07,-41.67,,0.5,,1071.57,-45.46,,04-30
61,603778,乾景园林,0.16,77.78,,1.42,,1244.46,128.33,,04-30
62,002552,宝鼎科技,-0.04,-960.0,,-1.6,,-1283.22,-983.68,,04-30
63,600879,航天电子,0.03,10.0,,0.63,,3477.66,10.07,,04-30
64,600579,天华院,-0.02,-600.0,,-0.84,,-602.17,-601.25,,04-30
65,600787,中储股份,0.1,775.63,4.04,2.59,,22923.15,934.48,,04-30
66,002173,*ST创疗,0.07,-333.33,,0.95,,2899.37,-526.58,,04-30
67,600748,上实发展,0.07,-12.5,,2.16,,10400.36,25.29,,04-30
68,002570,贝因美,0.06,20.0,,1.62,,6004.2,23.61,,04-30
69,600460,士兰微,0.0,-90.0,,0.09,,206.66,-92.98,,04-30
70,002183,怡亚通,0.16,45.45,,3.19,,16399.33,48.94,,04-30
71,603338,浙江鼎力,0.18,-62.5,,3.09,,2881.9,24.41,,04-30
72,603123,翠微股份,0.07,-28.72,,1.2,,3486.28,-29.35,,04-30
73,600587,新华医疗,0.11,-45.0,,1.32,,4287.91,-46.38,,04-30
74,603566,普莱柯,0.27,-30.77,,3.22,,4375.06,-6.41,,04-30
75,600438,通威股份,-0.01,-79.28,,-0.18,,-791.01,-75.22,,04-30
76,600029,南方航空,0.27,42.11,,6.66,,268300.0,40.99,,04-30
77,600984,建设机械,-0.04,-51.91,,-0.72,,-2240.87,26.8,,04-30
78,600576,万家文化,0.02,-211.76,,0.71,,1225.93,-435.04,,04-30
79,600093,禾嘉股份,0.08,112.82,,1.66,,9370.6,642.72,,04-30
80,000809,铁岭新城,-0.03,100.0,,-0.66,,-2124.45,204.41,,04-30
81,002489,浙江永强,0.08,-83.67,,5.17,,17266.32,-25.85,,04-30
82,000552,靖远煤电,0.05,-22.73,,0.85,,5230.26,-23.0,,04-30
83,600882,广泽股份,-0.06,500.0,,-2.29,,-2434.56,797.59,,04-30
84,000018,神州长城,0.17,-8670.0,,5.63,,7658.73,-19696.21,,04-30
85,600979,广安爱众,0.03,10.65,,1.33,,2086.01,10.58,,04-30
86,600266,北京城建,0.11,-26.67,,0.91,,17350.61,-24.56,,04-30
87,002357,富临运业,0.1,-53.61,,3.03,,3001.36,-25.76,,04-30
88,000532,力合股份,0.02,39.39,,0.92,,634.96,40.02,,04-30
89,600844,丹化科技,-0.04,1619.23,,-4.35,0.01,-3483.49,1600.48,,04-30
90,600776,东方通信,0.01,-40.52,,0.57,,1685.15,-40.53,,04-30
91,600330,天通股份,0.06,233.33,,1.42,,5005.54,326.38,,04-30
92,600781,辅仁药业,0.03,-16.3,,1.53,,547.56,-16.24,,04-30
93,600068,葛洲坝,0.14,26.13,,3.16,,64576.21,26.85,,04-30
94,000416,民生控股,-0.02,-192.92,,-1.29,,-1118.06,-192.92,,04-30
95,002618,丹邦科技,0.04,-29.05,,0.4,,655.72,-28.98,,04-30
96,600261,阳光照明,0.07,-30.0,,3.39,,10060.88,4.18,,04-30
97,603015,弘讯科技,0.07,-41.67,,1.35,,1446.78,-29.36,,04-30
98,002130,沃尔核材,0.04,100.0,,1.21,,2052.68,48.37,,04-30
99,002103,广博股份,0.04,100.0,,0.75,,1225.34,255.82,,04-30
100,002140,东华科技,0.04,-28.62,,0.87,,1733.4,-28.63,,04-30
101,600336,澳柯玛,0.04,27.19,,2.89,,2966.94,27.01,,04-30
102,601933,永辉超市,0.12,9.09,,3.79,,47207.82,29.75,,04-30
103,000729,燕京啤酒,0.02,-10.53,,0.37,,4717.44,-11.07,,04-30
104,600126,杭钢股份,0.05,-171.43,,1.43,,11140.04,-282.28,,04-30
105,002505,大康农业,0.0,600.0,,0.14,,796.16,666.2,,04-30
106,601088,中国神华,0.23,-18.88,14.97,1.56,0.77,460700.0,-19.03,,04-30
107,000739,普洛药业,0.03,-21.43,,1.55,,3775.02,-21.47,,04-30
108,600246,万通地产,0.0,-91.14,,0.16,,471.58,-91.2,,04-30
109,002608,*ST舜船,-0.2,33.33,,,,-7682.34,37.54,,04-30
110,600887,伊利股份,0.26,-39.53,,7.48,,155373.88,19.26,,04-30
111,002322,理工环科,0.02,-166.67,,0.28,,813.73,-197.53,,04-30
112,600859,王府井,0.41,-17.01,,2.52,,18725.43,-17.02,,04-30
113,000428,华天酒店,-0.06,-14.29,,-1.82,,-5768.12,18.22,,04-30
