code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket
603816,N顾家,家居用品,浙江,26.92,8250.0,41250.0,265316.56,125637.67,99550.67,10336.63,0.25,0.66,3.53,10.07,20161014
000721,西安饮食,酒店餐饮,陕西,140.19,43551.6,49905.58,112669.9,45992.26,34006.53,5551.46,0.11,0.042,1.37,8.59,19970430
603887,城地股份,建筑施工,上海,31.44,2460.0,9810.0,74930.96,65451.88,6307.37,9337.95,0.95,0.40700000000000003,5.32,4.81,20161010
603777,来伊份,其他商业,上海,45.65,6000.0,24000.0,246923.05,161823.56,51366.69,98918.18,4.12,0.33399999999999996,10.1,2.01,20161012
603738,泰晶科技,元器件,湖北,60.96,1668.0,6668.0,53395.61,31083.01,19625.02,4836.73,0.73,0.371,5.51,8.21,20160928
002113,天润数娱,互联网,湖南,349.65,47345.33,75447.97,108734.77,29819.6,211.21,87152.06,1.16,0.018000000000000002,1.2,10.59,20070208
300542,新晨科技,软件服务,北京,269.77,2255.0,9015.0,50090.7,39063.4,1385.29,6433.1,0.71,0.076,5.59,7.29,20160920
300340,科恒股份,元器件,广东,708.32,8183.85,10000.0,97852.92,56767.98,16382.97,51351.6,5.14,0.040999999999999995,7.99,7.28,20120726
300549,优德精密,专用机械,江苏,58.52,1667.0,6667.0,37171.9,25088.67,9150.82,3910.71,0.59,0.298,3.73,9.34,20160930
002780,三夫户外,其他商业,北京,481.1,1700.0,6748.06,42106.9,40363.76,1180.1,16793.57,2.49,0.1,5.57,17.21,20151209
000639,西王食品,食品,山东,49.64,37664.57,45453.05,221771.88,134218.02,51252.8,64573.03,1.42,0.20800000000000002,4.15,4.98,19961126
300536,农尚环境,建筑施工,湖北,86.77,2327.67,9310.73,53489.91,52143.4,1009.34,6173.12,0.66,0.26,4.17,10.81,20160920
603313,恒康家居,家居用品,江苏,36.31,6000.0,24000.0,107245.92,52706.9,33244.73,8741.53,0.36,0.336,3.78,6.46,20161013
300506,名家汇,建筑施工,深圳,235.97,7500.0,30000.0,72829.25,59545.31,2277.16,20594.49,0.69,0.08,1.72,21.99,20160324
